"Vehicle Vin","Vehicle Make","Vehicle Model","Vehicle Trim Level","Vehicle Transmission Type","Vehicle Drive Type","Vehicle Type","Vehicle Year","Stock Number","Interior Color","Exterior Color","Engine","Cylinders","Cost","Wholesale","Retail","Mileage","Purchase Date","Comments","Inventory Type","Certified Pre Owned","Image URL","Option List","Total Cost","Down Payment","YouTube URL","Location Code","Market Value","Retail2","Other Price/Cost","Weekly Payment","Monthly Payment","Payment Details","Fuel Type","Interior Material","MSRP"

"SMK85788E191","SMOKER CRAFT","SUNCHASER","DECK BOAT","Automatic","","Boat","1991","3917","WHITE","WHITE","150","6","ZERO","ZERO","    4500.00","1000"," 2/20/2023"," Great running boat! 150 hp Mercury outboard motor. Seating for 9+.     I have had my family out in it multipe times. Has a ladder for easy entry when jumping off the boat and swimming.     Has a decent canopy on it that makes for nice boat rides.     Been winterized as long as I have had it.     Don't ask me to go lower. My wife already has my head on the chopping block for buying two boats when she was under anesthesia :)","Used","No","https://cdn.frazerphotos.com/22489/22489_000003917_c3v4jjp.jpg|https://cdn.frazerphotos.com/22489/22489_000003917_q7987xq.jpg|https://cdn.frazerphotos.com/22489/22489_000003917_kaerml5.jpg|https://cdn.frazerphotos.com/22489/22489_000003917_9djd1hi.jpg|https://cdn.frazerphotos.com/22489/22489_000003917_6ow0n8r.jpg|https://cdn.frazerphotos.com/22489/22489_000003917_wlurtiy.jpg|https://cdn.frazerphotos.com/22489/22489_000003917_8fa885c.jpg|https://cdn.frazerphotos.com/22489/22489_000003917_ufguec1.jpg|https://cdn.frazerphotos.com/22489/22489_000003917_dy0twib.jpg|https://cdn.frazerphotos.com/22489/22489_3917_3750.jpg|https://cdn.frazerphotos.com/22489/22489_3917_3752.jpg|https://cdn.frazerphotos.com/22489/22489_3917_3753.jpg|https://cdn.frazerphotos.com/22489/22489_3917_3754.jpg|https://cdn.frazerphotos.com/22489/22489_3917_3755.jpg|https://cdn.frazerphotos.com/22489/22489_000003917_zb6bj3n.jpg|","","ZERO","       0.00","https://youtu.be/kXeX5zOxTeI?si=bo5SuBkpAPMWXvsE","0","       0.00","    4500.00","     0","       0.00","       0.00","","Gasoline","","        "

"3D7MU48C64G122042","DODGE","RAM 3500","ST","Automatic","4WD","Truck","2004","1725","","WHITE","5.9L","6","ZERO","ZERO","    6000.00","337402"," 6/28/2016","Currently in the repair shop. Will update as possible.","Used","No","https://cdn.frazerphotos.com/22489/22489_1725_2900.jpg|https://cdn.frazerphotos.com/22489/22489_1725_2899.jpg|https://cdn.frazerphotos.com/22489/22489_1725_2905.jpg|https://cdn.frazerphotos.com/22489/22489_1725_2897.jpg|https://cdn.frazerphotos.com/22489/22489_1725_2898.jpg|https://cdn.frazerphotos.com/22489/22489_1725_2907.jpg|https://cdn.frazerphotos.com/22489/22489_1725_2902.jpg|https://cdn.frazerphotos.com/22489/22489_1725_2901.jpg|https://cdn.frazerphotos.com/22489/22489_1725_2903.jpg|https://cdn.frazerphotos.com/22489/22489_1725_2904.jpg|https://cdn.frazerphotos.com/22489/22489_1725_2906.jpg|https://cdn.frazerphotos.com/22489/22489_1725_2896.jpg|https://cdn.frazerphotos.com/22489/22489_000001725_xxllvjx.jpg|https://cdn.frazerphotos.com/22489/22489_000001725_jbh175l.jpg|https://cdn.frazerphotos.com/22489/22489_000001725_xdvvfs4.jpg|https://cdn.frazerphotos.com/22489/22489_000001725_zi3m3zw.jpg|https://cdn.frazerphotos.com/22489/22489_000001725_wda1oi9.jpg|https://cdn.frazerphotos.com/22489/22489_000001725_gpxkhj4.jpg|https://cdn.frazerphotos.com/22489/22489_000001725_nwzlhjo.jpg|https://cdn.frazerphotos.com/22489/22489_000001725_m6b0pjb.jpg|https://cdn.frazerphotos.com/22489/22489_000001725_gud5kdc.jpg|","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM Cassette; AM/FM CD; Dual Front Air Bag; Active Belts; Crew Cab; Regular Bed; All Wheel ABS; 1 Ton","ZERO","       0.00","","0","       0.00","    6000.00","     0","       0.00","       0.00","","Diesel","","        "

"1C4NJCBA0GD751810","JEEP","COMPASS","SPORT","Continuously Variable","FWD","SUV","2016","4227","BLACK","BLACK","2.0L","4","ZERO","ZERO","    3750.00","190835","11/06/2024","Video Test Drive (The Nitty Gritty): https://youtu.be/x1xEuhxHWCw         Just The Basics:     *    Runs and Drives Smooth    *Suspension Quiet. Brakes Good.     *Pulls (a little) to the right-Needs A Wheel Bearing (Part Included)     *Driver's Window Needs A Regulator","Used","No","https://cdn.frazerphotos.com/22489/22489_000004227_569c0mv.jpg|https://cdn.frazerphotos.com/22489/22489_000004227_sly7k83.jpg|https://cdn.frazerphotos.com/22489/22489_000004227_4trw442.jpg|https://cdn.frazerphotos.com/22489/22489_000004227_rpxziw6.jpg|https://cdn.frazerphotos.com/22489/22489_000004227_r4cpvhd.jpg|https://cdn.frazerphotos.com/22489/22489_000004227_y5dxn07.jpg|https://cdn.frazerphotos.com/22489/22489_000004227_bnmnqp7.jpg|https://cdn.frazerphotos.com/22489/22489_000004227_uy1szbd.jpg|https://cdn.frazerphotos.com/22489/22489_000004227_famxti4.jpg|https://cdn.frazerphotos.com/22489/22489_000004227_gi5t52b.jpg|https://cdn.frazerphotos.com/22489/22489_000004227_cbtd8gz.jpg|https://cdn.frazerphotos.com/22489/22489_000004227_u81cjsk.jpg|","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Available; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; Dual Rear Side Airbag; All Wheel ABS","ZERO","       0.00","","0","       0.00","    3750.00","     0","       0.00","       0.00","","Gasoline","","        "

"YV1RS592182700588","VOLVO","S60","2.5T","Automatic","FWD","Sedan","2008","4224","BLACK","SILVER","2.5L","5","ZERO","ZERO","    2300.00","233858","10/30/2024","VVideo Test Drive (The Nitty Gritty): https://youtu.be/V8td3H6DwHs    Just the Basics:    The timing was already done on this at 145k miles!    Drives well with good power and smooth acceleration.    Quiet suspension. Good Brakes.     Leather, Cold AC    Tires 50%-75%    Body in decent shape-Just a few ''dings'' (Cracked Windshield/Headlight covers, Driver's mirror broken)    Anti Skid Service Light is on (Traction Control), RR Window Inop, Sunroof, Inop","Used","No","https://cdn.frazerphotos.com/22489/22489_000004224_i6pki30.jpg|https://cdn.frazerphotos.com/22489/22489_000004224_0uq3sf2.jpg|https://cdn.frazerphotos.com/22489/22489_000004224_4zntc2e.jpg|https://cdn.frazerphotos.com/22489/22489_000004224_bm1elc9.jpg|https://cdn.frazerphotos.com/22489/22489_000004224_xpycbrd.jpg|https://cdn.frazerphotos.com/22489/22489_000004224_i8hbed3.jpg|https://cdn.frazerphotos.com/22489/22489_000004224_e3k0gl2.jpg|https://cdn.frazerphotos.com/22489/22489_000004224_pjvj6jj.jpg|https://cdn.frazerphotos.com/22489/22489_000004224_bkbif28.jpg|https://cdn.frazerphotos.com/22489/22489_000004224_hspxmsk.jpg|https://cdn.frazerphotos.com/22489/22489_000004224_z1dro3s.jpg|https://cdn.frazerphotos.com/22489/22489_4224_3924.jpg|https://cdn.frazerphotos.com/22489/22489_4224_3925.jpg|","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; All Wheel ABS","ZERO","       0.00","https://youtu.be/V8td3H6DwHs","0","    4267.00","    2300.00","     0","       0.00","       0.00","","Gasoline","","        "

"1FMZU77E22UC81375","FORD","EXPLORER","SPORT TRAC","Automatic","4WD","Mid-Size","2002","4258","GRAY","SILVER","4.0L","6","ZERO","ZERO","    2100.00","185391"," 3/05/2025","Video Test Drive URL (The Nitty Gritty): https://youtu.be/6q8uWp83gew    Just the Basics:    Tires about 50%    New wheel bearing, fixed taillight, fresh oil change.    Good running truck. 4x4 works.     All side windows inop (pretty sure it's a wiring issue in the driver's door), Rear sliding window works    A couple cosmetic dings and tears    AC not blowing cold    **Update** I found a brake fluid leak when I moved it. I have not nailed down the location yet. Check with me on this to see where I am at.     This is the truck that I put my 16 year old son in until he decided to go with a fuel efficient car. Any of you with kids knows that a momma ain't gonna put her baby in a car that ain't gonna get him where he needs to go. It may not be the prettiest or the fanciest and it may still need a few things, but the bones are solid.","Used","No","https://cdn.frazerphotos.com/22489/22489_000004258_qdafsx0.jpg|https://cdn.frazerphotos.com/22489/22489_000004258_b8gh9hk.jpg|https://cdn.frazerphotos.com/22489/22489_000004258_tvmurjt.jpg|https://cdn.frazerphotos.com/22489/22489_000004258_8y4eb53.jpg|https://cdn.frazerphotos.com/22489/22489_000004258_q5ll60o.jpg|https://cdn.frazerphotos.com/22489/22489_000004258_u3o6oo6.jpg|https://cdn.frazerphotos.com/22489/22489_000004258_bk5gkhx.jpg|https://cdn.frazerphotos.com/22489/22489_000004258_wnsor8f.jpg|https://cdn.frazerphotos.com/22489/22489_000004258_jyaql6f.jpg|https://cdn.frazerphotos.com/22489/22489_000004258_l2wg3kg.jpg|https://cdn.frazerphotos.com/22489/22489_000004258_17ca0in.jpg|https://cdn.frazerphotos.com/22489/22489_4258_3920.jpg|https://cdn.frazerphotos.com/22489/22489_4258_3921.jpg|","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD; Pass Key Security; Dual Front Air Bag; Active Belts; Sport Utility Cab; All Wheel ABS","ZERO","       0.00","https://youtu.be/6q8uWp83gew","0","    5604.00","    2100.00","     0","       0.00","       0.00","","Gasoline","","        "
